"Dia","Hora","Satelite","Instrumento","Latitud","Longitud","FP_T21","FP_T31","FP_Power","FP_Confidence","SCAN","TRACK"
2024-10-01,05:47:03,"AQUA","MODIS",-12.915663,-51.190811,318.882,296.39,18.9489,98,1.23165,1.10313
2024-10-01,05:47:03,"AQUA","MODIS",-12.955233,-51.213257,310.797,295.653,10.5568,81,1.2298,1.10235
2024-10-01,05:47:03,"AQUA","MODIS",-12.961983,-51.236832,320.583,295.816,20.3754,100,1.22614,1.10081
2024-10-01,05:47:03,"AQUA","MODIS",-12.965007,-51.214642,323.043,296.38,23.4528,100,1.2298,1.10235
2024-10-01,05:47:03,"AQUA","MODIS",-12.966522,-51.203518,315.6,296.327,14.3377,92,1.23165,1.10313
2024-10-01,05:47:03,"AQUA","MODIS",-12.947667,-51.413464,318.315,296.399,16.7243,97,1.19827,1.08902
2024-10-01,05:47:03,"AQUA","MODIS",-12.973262,-51.227123,341.076,296.984,55.0399,100,1.22797,1.10158
2024-10-01,05:47:03,"AQUA","MODIS",-12.974781,-51.216022,363.54,299.799,124.809,100,1.2298,1.10235
2024-10-01,05:47:03,"AQUA","MODIS",-12.976304,-51.204895,326.92,297.174,29.3332,100,1.23165,1.10313
2024-10-01,05:47:03,"AQUA","MODIS",-12.955827,-51.425644,335.605,296.799,42.3421,100,1.19661,1.08831
2024-10-01,05:47:03,"AQUA","MODIS",-12.957324,-51.414825,331.989,297.524,36.8376,100,1.19827,1.08902
2024-10-01,05:47:03,"AQUA","MODIS",-12.965477,-51.427006,317.967,296.05,16.1107,96,1.19661,1.08831
2024-10-01,05:47:03,"AQUA","MODIS",-12.96698,-51.416195,329.783,296.932,33.0937,100,1.19827,1.08902
2024-10-01,05:47:03,"AQUA","MODIS",-12.97907,-51.329075,323.568,296.265,23.0691,100,1.21189,1.0948
2024-10-01,05:47:03,"AQUA","MODIS",-12.980589,-51.318111,337.334,297.538,47.4183,100,1.21363,1.09554
2024-10-01,05:47:03,"AQUA","MODIS",-12.982109,-51.30714,323.537,296.618,24.3919,100,1.21539,1.09628
2024-10-01,05:47:03,"AQUA","MODIS",-12.988208,-51.263077,321.648,296.179,19.6713,96,1.22251,1.09929
2024-10-01,05:47:03,"AQUA","MODIS",-12.992799,-51.229866,336.001,297.169,42.5674,100,1.22797,1.10158
2024-10-01,05:47:03,"AQUA","MODIS",-12.994333,-51.218758,319.595,296.618,16.7752,91,1.2298,1.10235
2024-10-01,05:47:03,"AQUA","MODIS",-12.991831,-51.308506,317.347,296.752,15.2425,95,1.21539,1.09628
2024-10-01,05:47:03,"AQUA","MODIS",-12.99336,-51.297516,327.968,297.458,29.7824,100,1.21716,1.09703
2024-10-01,05:47:03,"AQUA","MODIS",-12.999492,-51.253387,319.132,296.628,15.8109,80,1.22432,1.10005
2024-10-01,05:47:03,"AQUA","MODIS",-13.004109,-51.220131,327.067,296.847,27.6133,100,1.2298,1.10235
2024-10-01,05:47:03,"AQUA","MODIS",-13.005652,-51.209007,333.841,297.15,41.0453,100,1.23165,1.10313
2024-10-01,05:47:03,"AQUA","MODIS",-13.001552,-51.309875,328.18,296.618,29.6745,100,1.21539,1.09628
2024-10-01,05:47:03,"AQUA","MODIS",-13.003087,-51.298885,346.454,298.245,66.3735,100,1.21716,1.09703
2024-10-01,05:47:03,"AQUA","MODIS",-13.004624,-51.287876,392.575,302.649,275.511,100,1.21893,1.09778
2024-10-01,05:47:03,"AQUA","MODIS",-13.006164,-51.276852,372.578,301.049,159.159,100,1.22072,1.09853
2024-10-01,05:47:03,"AQUA","MODIS",-13.007705,-51.265816,338.293,298.188,45.5843,100,1.22251,1.09929
2024-10-01,05:47:03,"AQUA","MODIS",-13.010791,-51.24369,321.626,296.932,18.4489,100,1.22614,1.10081
2024-10-01,05:47:03,"AQUA","MODIS",-13.012338,-51.232601,318.087,296.694,14.2743,81,1.22797,1.10158
2024-10-01,05:47:03,"AQUA","MODIS",-13.015435,-51.210377,326.635,297.008,27.8904,100,1.23165,1.10313
2024-10-01,05:47:03,"AQUA","MODIS",-13.016987,-51.199238,328.244,297.269,31.6722,100,1.23351,1.1039
2024-10-01,05:47:03,"AQUA","MODIS",-13.01854,-51.188084,326.337,297.373,29.3104,100,1.23538,1.10469
2024-10-01,05:47:03,"AQUA","MODIS",-13.009733,-51.322216,311.791,295.83,9.77705,83,1.21363,1.09554
2024-10-01,05:47:03,"AQUA","MODIS",-13.012815,-51.300251,321.437,296.766,18.5841,100,1.21716,1.09703
2024-10-01,05:47:03,"AQUA","MODIS",-13.014359,-51.289242,346.822,298.816,67.2712,100,1.21893,1.09778
2024-10-01,05:47:03,"AQUA","MODIS",-13.015905,-51.278221,346.286,299.553,65.7171,100,1.22072,1.09853
2024-10-01,05:47:03,"AQUA","MODIS",-13.017453,-51.267185,379.714,302.259,195.962,100,1.22251,1.09929
2024-10-01,05:47:03,"AQUA","MODIS",-13.019002,-51.256134,329.158,297.708,28.601,100,1.22432,1.10005
2024-10-01,05:47:03,"AQUA","MODIS",-13.020553,-51.24506,352.385,298.634,82.7823,100,1.22614,1.10081
2024-10-01,05:47:03,"AQUA","MODIS",-13.022106,-51.233971,367.226,300.552,137.834,100,1.22797,1.10158
2024-10-01,05:47:03,"AQUA","MODIS",-13.023662,-51.222866,334.846,298.127,40.9229,100,1.2298,1.10235
2024-10-01,05:47:03,"AQUA","MODIS",-13.025218,-51.211746,350.051,298.127,78.4935,100,1.23165,1.10313
2024-10-01,05:47:03,"AQUA","MODIS",-13.026777,-51.200611,351.473,298.695,83.7985,100,1.23351,1.1039
2024-10-01,05:47:03,"AQUA","MODIS",-13.028337,-51.189457,333.045,297.949,40.1383,100,1.23538,1.10469
2024-10-01,05:47:03,"AQUA","MODIS",-13.029901,-51.178284,311.967,296.775,10.5337,84,1.23726,1.10547
2024-10-01,05:47:03,"AQUA","MODIS",-13.019448,-51.323582,313.366,295.701,11.7338,87,1.21363,1.09554
2024-10-01,05:47:03,"AQUA","MODIS",-13.031877,-51.23534,349.525,298.099,76.3278,100,1.22797,1.10158
2024-10-01,05:47:03,"AQUA","MODIS",-13.033438,-51.224236,333.422,298.254,38.5487,100,1.2298,1.10235
2024-10-01,05:47:03,"AQUA","MODIS",-13.035001,-51.21312,367.558,300.349,140.618,100,1.23165,1.10313
2024-10-01,05:47:03,"AQUA","MODIS",-13.036567,-51.201984,364.699,300.414,129.489,100,1.23351,1.1039
2024-10-01,05:47:03,"AQUA","MODIS",-13.038135,-51.19083,327.421,297.344,29.2015,100,1.23538,1.10469
2024-10-01,05:47:03,"AQUA","MODIS",-13.035713,-51.220013,333.187,298.418,39.4965,100,1.23165,1.10313
2024-10-01,05:47:03,"AQUA","MODIS",-13.037215,-51.20887,365.894,301.324,134.718,100,1.23351,1.1039
2024-10-01,05:47:03,"AQUA","MODIS",-13.03872,-51.197708,347.252,299.687,71.5507,100,1.23538,1.10469
2024-10-01,05:47:03,"AQUA","MODIS",-13.048515,-51.199085,375.938,301.539,181.063,100,1.23538,1.10469
2024-10-01,05:47:03,"AQUA","MODIS",-13.050029,-51.187908,365.442,301.177,133.049,100,1.23726,1.10547
2024-10-01,05:47:03,"AQUA","MODIS",-13.056793,-51.211624,312.942,296.179,11.3088,86,1.23351,1.1039
