Dia,Hora,Satelite,Instrumento,Latitud,Longitud,FP_T21,FP_T31,FP_Power,FP_Confidence,SCAN,TRACK,EsFuego_Pred,Probabilidad_No_Fuego,Probabilidad_Fuego
2024-10-10,06:53:16,AQUA,MODIS,-14.715073,-65.938141,309.916,289.94,18.6113,79,1.70299,1.28161,1,0.0,100.0
2024-10-10,06:53:16,AQUA,MODIS,-14.717071,-65.922668,304.933,290.005,11.4428,62,1.70764,1.2832,1,1.0,99.0
2024-10-10,06:53:16,AQUA,MODIS,-14.836263,-66.15284,306.742,279.881,17.8768,69,1.64954,1.26304,1,12.0,88.0
2024-10-10,06:53:16,AQUA,MODIS,-18.841066,-69.744263,313.544,282.672,19.0456,87,1.12118,1.05551,1,1.0,99.0
2024-10-10,06:53:16,AQUA,MODIS,-34.112576,-70.449043,312.427,278.467,30.6106,85,1.56504,1.23291,1,0.0,100.0
2024-10-10,06:53:16,AQUA,MODIS,-34.114014,-70.454361,314.633,278.321,34.017,90,1.56504,1.23291,1,0.0,100.0
2024-10-10,06:53:16,AQUA,MODIS,-13.751059,-60.607792,308.218,282.553,69.7703,43,4.28019,1.9112,0,77.0,23.0
2024-10-10,06:53:16,AQUA,MODIS,-13.738557,-60.610737,306.391,279.731,62.3128,41,4.28019,1.9112,0,93.0,7.000000000000001
2024-10-10,06:53:16,AQUA,MODIS,-13.421667,-67.453438,301.693,284.778,7.70046,43,1.28569,1.12549,0,95.0,5.0
2024-10-10,06:53:16,AQUA,MODIS,-13.6684,-66.995377,319.104,280.517,29.7405,98,1.38518,1.16524,1,1.0,99.0
2024-10-10,06:53:16,AQUA,MODIS,-13.678738,-66.996788,319.189,278.123,28.7908,98,1.38518,1.16524,1,1.0,99.0
2024-10-10,06:53:16,AQUA,MODIS,-13.680461,-66.984222,311.414,278.343,17.8886,82,1.38791,1.16631,1,0.0,100.0
2024-10-10,06:53:16,AQUA,MODIS,-13.67561,-67.001976,313.29,277.903,20.0088,76,1.38518,1.16524,1,0.0,100.0
2024-10-10,06:53:16,AQUA,MODIS,-13.677248,-66.989395,326.199,282.521,39.252,100,1.38791,1.16631,1,0.0,100.0
2024-10-10,06:53:16,AQUA,MODIS,-14.505924,-67.042244,318.7,277.29,31.6612,97,1.41317,1.17611,1,0.0,100.0
2024-10-10,06:53:16,AQUA,MODIS,-14.516362,-67.043671,311.385,279.308,21.5463,82,1.41317,1.17611,1,1.0,99.0
2024-10-10,06:53:16,AQUA,MODIS,-14.518034,-67.03083,320.748,277.948,35.151,100,1.41605,1.17722,1,0.0,100.0
2024-10-10,06:53:16,AQUA,MODIS,-14.528484,-67.032234,310.303,275.015,20.8898,80,1.41605,1.17722,1,1.0,99.0
2024-10-10,06:53:16,AQUA,MODIS,-14.703696,-65.936615,312.391,290.061,22.0259,85,1.70299,1.28161,1,7.000000000000001,93.0
2024-10-10,06:53:16,AQUA,MODIS,-14.705681,-65.921143,307.64,290.026,14.623,62,1.70764,1.2832,1,9.0,91.0
2024-10-10,19:01:06,AQUA,MODIS,-19.898243,-65.258888,322.923,303.974,14.7347,71,1.25268,1.1119,1,3.0,97.0
2024-10-10,19:01:06,AQUA,MODIS,-33.555714,-69.022316,311.944,296.742,6.91173,39,1.33135,1.14396,0,91.0,9.0
2024-10-10,19:01:06,AQUA,MODIS,-32.005379,-61.381886,316.172,293.252,12.0112,68,1.31945,1.13918,1,1.0,99.0
2024-10-10,19:01:06,AQUA,MODIS,-32.007824,-61.395546,319.467,293.965,17.5816,73,1.31711,1.13824,1,0.0,100.0
2024-10-10,19:01:06,AQUA,MODIS,-31.438833,-60.264931,317.976,296.766,22.5801,71,1.56883,1.23428,1,3.0,97.0
2024-10-10,19:01:06,AQUA,MODIS,-32.779671,-70.952057,306.202,290.86,9.53908,25,1.6938,1.27844,0,76.0,24.0
2024-10-10,19:01:06,AQUA,MODIS,-31.013926,-60.229813,319.004,290.88,26.4979,75,1.60795,1.24833,1,1.0,99.0
2024-10-10,19:01:06,AQUA,MODIS,-31.013638,-60.236847,310.117,290.92,13.3678,61,1.60795,1.24833,1,0.0,100.0
2024-10-10,19:01:06,AQUA,MODIS,-29.58186,-66.847069,316.114,296.756,9.7224,69,1.01468,1.00693,1,3.0,97.0
2024-10-10,19:01:06,AQUA,MODIS,-26.415274,-69.484146,323.373,302.694,17.5735,77,1.16243,1.0736,1,2.0,98.0
2024-10-10,19:01:06,AQUA,MODIS,-24.088634,-66.407036,318.438,290.303,13.3639,74,1.02374,1.01117,1,4.0,96.0
2024-10-10,19:01:06,AQUA,MODIS,-24.090126,-66.416908,344.459,291.722,49.5657,93,1.02326,1.01095,1,0.0,100.0
2024-10-10,19:01:06,AQUA,MODIS,-22.624353,-66.184937,316.837,298.779,7.03097,71,1.06024,1.02806,1,6.0,94.0
2024-10-10,19:01:06,AQUA,MODIS,-22.479002,-65.851875,319.824,291.219,12.3614,73,1.09216,1.04255,1,0.0,100.0
2024-10-10,19:01:06,AQUA,MODIS,-22.480595,-65.861938,345.845,296.022,53.3524,93,1.09114,1.04209,1,0.0,100.0
2024-10-10,19:01:06,AQUA,MODIS,-22.293261,-68.882965,313.873,293.281,7.21408,34,1.02675,1.01258,0,78.0,22.0
